"filename", "language", "Shell Script", "pip requirements", "JSON", "Python", "Markdown", "JavaScript", "HTML", "CSS", "XML", "JavaScript React", "Less", "JSON with Comments", "comment", "blank", "total"
"/home/hsnt/Documents/Docker/RiDX/core/server/app/repository/system_profile.py", "Python", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"/home/hsnt/Documents/Docker/RiDX/core/server/app/repository/user.py", "Python", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 42
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/__init__.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/admin.py", "Python", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/assessments.py", "Python", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 92
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/asset.py", "Python", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 100
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/auth.py", "Python", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 88
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/base.py", "Python", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 81
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/countermeasure.py", "Python", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 65
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/cpe.py", "Python", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 39
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/cves.py", "Python", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/cwes.py", "Python", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 32
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/deployment_scenario.py", "Python", 0, 0, 0, 829, 0, 0, 0, 0, 0, 0, 0, 0, 14, 130, 973
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/helper.py", "Python", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/risk_assessment.py", "Python", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 88
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/risk_monitoring.py", "Python", 0, 0, 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 195
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/system_profile.py", "Python", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 126
"/home/hsnt/Documents/Docker/RiDX/core/server/app/router/test_roter.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/app/services/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/app/services/cve.py", "Python", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"/home/hsnt/Documents/Docker/RiDX/core/server/app/services/graph.py", "Python", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 65
"/home/hsnt/Documents/Docker/RiDX/core/server/app/services/nvd.py", "Python", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"/home/hsnt/Documents/Docker/RiDX/core/server/core/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/main.py", "Python", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 33, 24, 184
"/home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/model/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/model/attack_vector.py", "Python", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"/home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/model/node.py", "Python", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 45
"/home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/model/privilege.py", "Python", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"/home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/model/vulnerability.py", "Python", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"/home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/sample.json", "JSON", 0, 0, 1895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1896
"/home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/utils/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/attack_graph/utils/helper.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9
"/home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/helper/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/helper/hepler.py", "Python", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 23
"/home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/main.py", "Python", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 137
"/home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/model/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/model/inetwork.py", "Python", 0, 0, 0, 544, 0, 0, 0, 0, 0, 0, 0, 0, 24, 68, 636
"/home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/model/network.py", "Python", 0, 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 0, 25, 39, 326
"/home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/model/node.py", "Python", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 89
"/home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/requirements.txt", "pip requirements", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/sample_data.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/t.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 42, 189
"/home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/test.py", "Python", 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 126
"/home/hsnt/Documents/Docker/RiDX/core/server/core/bayes/test_2.py", "Python", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 13
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/default/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/default/cpe.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/default/cwes.json", "JSON", 0, 0, 776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 776
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/Untitled-1.ipynb", "JSON", 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 228
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/hepler/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/hepler/io.py", "Python", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/hepler/parser_helper.py", "Python", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 48
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/hepler/unzip_helper.py", "Python", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/import_data.py", "Python", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 110
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/main.py", "Python", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 169
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/model/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/model/cpe.py", "Python", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 23, 29, 202
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/model/cve.py", "Python", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 72
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/model/cwe.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/parser/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/parser/cpe.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/parser/cve.py", "Python", 0, 0, 0, 352, 0, 0, 0, 0, 0, 0, 0, 0, 21, 46, 419
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/parser/priv.py", "Python", 0, 0, 0, 257, 0, 0, 0, 0, 0, 0, 0, 0, 13, 30, 300
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/pretreatment/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/pretreatment/download.py", "Python", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 59
"/home/hsnt/Documents/Docker/RiDX/core/server/core/crawl/src/pretreatment/unzip.py", "Python", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"/home/hsnt/Documents/Docker/RiDX/core/server/cve.ipynb", "JSON", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 70
"/home/hsnt/Documents/Docker/RiDX/core/server/entity.sh", "Shell Script", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 7
"/home/hsnt/Documents/Docker/RiDX/core/server/main.py", "Python", 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26, 170
"/home/hsnt/Documents/Docker/RiDX/core/server/requirements.txt", "pip requirements", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/hsnt/Documents/Docker/RiDX/core/server/scenarios/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/hsnt/Documents/Docker/RiDX/core/server/scenarios/sample_data.json", "JSON", 0, 0, 803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 803
"/home/hsnt/Documents/Docker/RiDX/core/server/scenarios/scenario_1.json", "JSON", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130
"/home/hsnt/Documents/Docker/RiDX/core/server/scenarios/scenario_2.json", "JSON", 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 130
"/home/hsnt/Documents/Docker/RiDX/core/server/test.json", "JSON", 0, 0, 597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 597
"/home/hsnt/Documents/Docker/RiDX/core/server/test.py", "Python", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/hsnt/Documents/Docker/RiDX/core/web/.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/hsnt/Documents/Docker/RiDX/core/web/.prettierrc.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/hsnt/Documents/Docker/RiDX/core/web/.stylelintrc.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/hsnt/Documents/Docker/RiDX/core/web/README.md", "Markdown", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 22, 58
"/home/hsnt/Documents/Docker/RiDX/core/web/config/config.dev.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 1, 15
"/home/hsnt/Documents/Docker/RiDX/core/web/config/config.js", "JavaScript", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 22, 1, 73
"/home/hsnt/Documents/Docker/RiDX/core/web/config/defaultSettings.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/home/hsnt/Documents/Docker/RiDX/core/web/config/oneapi.json", "JSON", 0, 0, 593, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 594
"/home/hsnt/Documents/Docker/RiDX/core/web/config/proxy.js", "JavaScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 8, 1, 38
"/home/hsnt/Documents/Docker/RiDX/core/web/config/routes.js", "JavaScript", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 40, 1, 210
"/home/hsnt/Documents/Docker/RiDX/core/web/dist/136.6dd0be76.async.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/hsnt/Documents/Docker/RiDX/core/web/dist/181.28f34203.async.js", "JavaScript", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 36, 1, 109
"/home/hsnt/Documents/Docker/RiDX/core/web/dist/210.b1096dbc.async.js", "JavaScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/home/hsnt/Documents/Docker/RiDX/core/web/dist/356.8760706c.async.js", "JavaScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 36, 1, 91
"/home/hsnt/Documents/Docker/RiDX/core/web/dist/396.75446139.async.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/hsnt/Documents/Docker/RiDX/core/web/dist/529.30841822.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/hsnt/Documents/Docker/RiDX/core/web/dist/529.4d2dd6b1.async.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/hsnt/Documents/Docker/RiDX/core/web/dist/532.776d6455.async.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/hsnt/Documents/Docker/RiDX/core/web/dist/568.7cf136b9.async.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/hsnt/Documents/Docker/RiDX/core/web/dist/594.bfe69094.async.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/hsnt/Documents/Docker/RiDX/core/web/dist/594.e0179a0a.chunk.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/hsnt/Documents/Docker/RiDX/core/web/dist/670.1898572c.async.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
